speaker,text,start,end
SPEAKER_02, 여보세요?,0.487,25.162
SPEAKER_04,안녕하세요.,25.182,25.302
SPEAKER_02,서울중앙지검 첨단범죄수사팀 장민호 수사관입니다. 뭐라고요? 장자 민자 우자요. 누구시라고요? 저 안 들렸나요? 서울중앙지검 첨단범죄수사팀의 장민호 수사관입니다.,25.322,28.006
UNKNOWN,네.,28.026,28.066
SPEAKER_04,무슨 일인지 모르는 거야. 연루된 사건 때문에 연락드렸는데요. 어떤 거요?,28.086,28.907
SPEAKER_02, 본인과 일로 된 사건에요. 무슨 조건이요? 맹리도형 사건입니다. 맹리도형인데? 네? 맹리도형이 무슨 조건인데요? 42세대는 남성 김철수시라고 아십니까? 아 네 다름이 아니고요.,30.068,58.553
SPEAKER_01,얼마 전 저희 검찰에서 김철수 조건으로 된 금융본부의 사기집단을 검거했습니다.,58.573,59.434
SPEAKER_02, 금관 현장에서 본인 명으로 된 농촌 통장하고 국민의 통장이 발견돼서 지금 수사하고 있습니다.,60.123,85.232
UNKNOWN,네.,85.252,85.292
SPEAKER_02,그래서 본인 앞으로 연락드리는 이유가 이 통장을 본인이 직접 개설하셔서 김철수 씨한테 대가성을 받고 통장을 넘긴 건지 아니면 본인이 개인정보가 외출되면서 도용을 당한 피해자분인지 지금 이 부분을 조사하려고 연락드렸습니다.,85.312,87.775
SPEAKER_03,저 통장 그런 거 연구한 적 없는데요. 전혀 없으시고요.,87.795,88.416
UNKNOWN,네.,88.436,88.476
SPEAKER_02, 그럼 일단 혹시나처럼 몇 가지 청구의 주시를 받겠습니다. 누구한테 통정을 만들어 드릴까나 명의를 양도한 사실이 있습니까? 없는데요. 23년 사이에 주민등록증이나 면역증을 분실한 적이 있습니까? 없어요. 2014년 3월 3일에 경기도 관문시 천산동에서 농협은협과 국민의 통보를 계산한 사실이 있습니까?,89.367,114.988
UNKNOWN,없어요.,115.008,115.088
SPEAKER_02, 그럼 본인이 농협하고 국민의힘 통장을 직접 개설하셨던지 아니면 도용을 당하셨던지 저희가 본부 현장에서 압수했기 때문에 전부 던져 처리시켰습니다. 본인이 직접적으로 개설하셔서 사용하는 금리금에 타원행에서 수사 중에 통장이 발견되면 대포 통장을 보고 전부 던져 처리할 겁니다.,115.608,143.619
SPEAKER_04,그럼 본인이 직접 개설하셔서 사용한 금리금에 상호만 지시를 해주세요.,143.639,144.4
SPEAKER_02, 그럼 제가 어디 가서 해야 되나요?,144.683,168.806
SPEAKER_00,네? 어디 가서 진술도 하고 해야 되나요? 일단 몇 가지 제가 할 겁니다. 직접 개설하셔서 사용하려면 금융권 상고만 진술해 주세요.,168.826,170.287
SPEAKER_02,상고요? 금융권 상고요. 상고만. 그거 어디다 드리나요? 국민... 국민거래는 국민거래 사용하신다.,170.307,172.649
SPEAKER_00,농사거래는 농협거래 사용하신다. 이렇게요. 말해달라고요? 본인이 직접 거래하는 거요.,172.669,173.61
SPEAKER_02, 시티 은행 사용하시구요.,175.565,196.705
SPEAKER_03,"다른 은행 사용하십니까? 아니요, 지금은 시티만 계속 사용하는데요. 시티는 몇 개까지 준비하셨습니까?",196.725,198.987
UNKNOWN,네? 시티는 몇 개까지 준비하셨습니까? 지금 두 개요. 두 개요? 네.,199.007,199.787
SPEAKER_02,그럼 어떻게 사용하십니까?,199.807,200.088
SPEAKER_03,인터넷 뱅킹이랑 스마트폰 뱅킹 하는데요. 네? 인터넷 뱅킹이랑 스마트폰 뱅킹으로만 사용하신대요.,200.108,203.651
SPEAKER_02,카드도 잘 사용 안 하는데.  개인용으로 사용하십니까? 네 개인용으로 사용하죠 그럼 제일 마지막으로 사용하는 일자는 언젠지 기억하십니까? 오늘 아침에 떴는데요? 오늘 아침이요? 여러분 마지막으로 거래하시고 장고에 잔액이 얼마정도 있어요?,203.671,233.844
SPEAKER_00,70만원인가? 아 70만원이요? 저금같은건 있습니까?,233.864,234.445
SPEAKER_02, 그럼 얼마입니까? 어... 그거 한... 천만원 주면 안될거에요 아 천만원 주면 안되시구요? 예 아 마네스톤 같은거 사용하십니까? 아니요 사용 안해요 그런거 아 마네스톤 같은거 사용 안하시고? 예 아 그럼 일단 민문 가능하십니까? 네 죄송합니다 뭐가 가능하냐구요? 민문 가능하십니까?,234.965,262.021
SPEAKER_04,아 예 가능해요 아 일단 민문하시구요 네 송성문은 민문하시구요 2014년 2014에?  상근이요?,262.041,265.636
SPEAKER_02,조사?,268.078,268.759
SPEAKER_00,"조사, 조사반단 조사요.",268.779,288.92
SPEAKER_02,조사. 0668. 0668. 김철수 명의라는 사건. 죄송합니다. 0668 하면 안 들렸어요. 네? 0668 맞춰보신 다음에 누가 안 들렸어요. 김철수 명의. 김철수 명의라는 사건이요?,288.94,290.982
SPEAKER_00,일단 사건 담당 금전실로 제가 연결시켜드릴까요?,291.002,291.523
UNKNOWN,네.,291.543,291.583
SPEAKER_01, 피해자 입증을 잘 받으시고요.,292.036,317.946
SPEAKER_03,전화 끊지 말고 잠시만 대기해주세요.,317.966,319.247
UNKNOWN,네. 네.,319.267,319.367
SPEAKER_01,"김현희님 말씀하신 거죠? 여보세요? 네, 여보세요? 아, 네.  손담범죄수사팀의 담당검사고요. 김진호입니다. 김진호요. 지금 이 사건 내용에 대해서 저희 수사관님한테서 들으셨죠?",319.387,343.81
SPEAKER_02,"이해는 다 되셨나요? 본인께서 어떻게 이해를 하셨는지, 이해되신 부분을 저한테 한번 말씀해 보시겠습니까?",343.83,344.993
